file,x,y
1.2.840.113619.2.110.210419.20150904160158.2.9.12.1.jpg,716,854
1.2.840.113619.2.110.210419.20150911150314.1.9.12.1.jpg,700,941
1.2.840.113619.2.110.210419.20150911162822.1.9.12.1.jpg,700,942
1.2.840.113619.2.110.210419.20150911165531.1.9.12.1.jpg,692,937
1.2.840.113619.2.110.210419.20150911172118.1.9.12.1.jpg,700,938
1.2.840.113619.2.110.210419.20150911175028.1.9.12.1.jpg,692,937
1.2.840.113619.2.110.210419.20150911181826.1.9.12.1.jpg,692,938
1.2.840.113619.2.110.210419.20150911182112.1.9.12.1.jpg,700,941
1.2.840.113619.2.110.210419.20150911182404.1.9.12.1.jpg,692,937
1.2.840.113619.2.110.210419.20150911184912.1.9.12.1.jpg,700,941
1.2.840.113619.2.110.210419.20150912100432.1.9.12.1.jpg,692,939
1.2.840.113619.2.110.210419.20150912110749.1.9.12.1.jpg,692,939
1.2.840.113619.2.110.210419.20150912111218.1.9.12.1.jpg,700,942
1.2.840.113619.2.110.210419.20150912114415.1.9.12.1.jpg,700,941
1.2.840.113619.2.110.210419.20150912122049.1.9.12.1.jpg,700,942
1.2.840.113619.2.110.210419.20150912125021.1.9.12.1.jpg,700,940
1.2.840.113619.2.110.210419.20150912133132.1.9.12.1.jpg,692,938
1.2.840.113619.2.110.210419.20150912142432.1.9.12.1.jpg,692,941
1.2.840.113619.2.110.210419.20150912145751.1.9.12.1.jpg,700,943
1.2.840.113619.2.110.210419.20150912153011.1.9.12.1.jpg,700,941
1.2.840.113619.2.110.210419.20150912161116.1.9.12.1.jpg,700,941
1.2.840.113619.2.110.210419.20150912164900.1.9.12.1.jpg,700,942
1.2.840.113619.2.110.210419.20150912175336.1.9.12.1.jpg,700,943
1.2.840.113619.2.110.210419.20150912175713.1.9.12.1.jpg,700,941
1.2.840.113619.2.110.210419.20150912175945.1.9.12.1.jpg,700,938
1.2.840.113619.2.110.210419.20150913082625.1.9.12.1.jpg,692,937
1.2.840.113619.2.110.210419.20150913090050.1.9.12.1.jpg,692,937
1.2.840.113619.2.110.210419.20150913094254.1.9.12.1.jpg,700,940
1.2.840.113619.2.110.210419.20150913100656.1.9.12.1.jpg,700,940
1.2.840.113619.2.110.210419.20150913115234.1.9.12.1.jpg,700,941
1.2.840.113619.2.110.210419.20150913130257.1.9.12.1.jpg,700,941
1.2.840.113619.2.110.210419.20150913134418.1.9.12.1.jpg,700,943
1.2.840.113619.2.110.210419.20150913140950.1.9.12.1.jpg,692,937
1.2.840.113619.2.110.210419.20150913141336.1.9.12.1.jpg,700,943
1.2.840.113619.2.110.210419.20150913141828.1.9.12.1.jpg,700,940
1.2.840.113619.2.110.210419.20150913154926.1.9.12.1.jpg,700,942
1.2.840.113619.2.110.210419.20150913155133.1.9.12.1.jpg,692,938
1.2.840.113619.2.110.210419.20150913163023.1.9.12.1.jpg,700,943
1.2.840.113619.2.110.210419.20150913165346.1.9.12.1.jpg,700,937
