"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-44.8727019365023,7.27006294114471,-6.17225769567228,8.49986856421557e-10
"2","height",2.20909785225372,0.0421927017966696,52.3573451849461,0
