"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-36.5623936343188,8.38626057712905,-4.35979699152582,1.42546874998864e-05
"2","height",2.17934204169625,0.0489488785625216,44.52281861601,3.54880226474374e-247
